Gene,Score
3111_at,18.17608802
391475_at,18.17533806
28409_at,18.1550318
27040_at,18.1039134
84329_at,18.09730778
10280_at,18.08397119
9349_at,18.06096896
100287616_at,18.04668794
1348_at,18.04114317
100507632_at,18.02688841
1676_at,18.01721461
23198_at,18.01493029
90231_at,18.0148201
28941_at,18.01048861
9429_at,18.00941379
230_at,18.00776852
4128_at,17.99468695
79001_at,17.97674557
54764_at,17.97598573
28745_at,17.90878789
28766_at,17.89171202
25864_at,17.88837683
653579_at,17.88579593
8115_at,17.88543139
3176_at,17.88010233
92755_at,17.87606535
27005_at,17.86769014
10981_at,17.86140832
80832_at,17.85290607
4050_at,17.82568272
28943_at,17.82002544
374470_at,17.81560945
2512_at,17.805455
58476_at,17.80397263
51371_at,17.79935414
221472_at,17.77530921
79654_at,17.76427308
28424_at,17.72987706
28691_at,17.71256809
4267_at,17.70438295
23531_at,17.67612662
1845_at,17.66027724
79895_at,17.65651547
1269_at,17.63675316
100507125_at,17.5994281
5790_at,17.57446284
100506334_at,17.56967347
1624_at,17.5457414
51596_at,17.54495656
22845_at,17.54148365
931_at,17.47249803
644714_at,17.46817068
10791_at,17.43633807
9320_at,17.42255758
1901_at,17.42052802
28935_at,17.41859889
22837_at,17.41518933
834_at,17.40059972
7188_at,17.39583836
6856_at,17.39453892
28568_at,17.39398386
338099_at,17.38840065
79600_at,17.38408371
57125_at,17.37981107
28901_at,17.36691987
51710_at,17.35487021
59307_at,17.34950508
6504_at,17.33982438
10943_at,17.29207455
329_at,17.27906701
80820_at,17.27437246
1238_at,17.27283635
100126349_at,17.25179896
730102_at,17.25105756
10120_at,17.2269948
912_at,17.21700401
255394_at,17.2018335
53838_at,17.2006862
55370_at,17.19498048
84926_at,17.18480153
84898_at,17.18080681
3940_at,17.16960584
151790_at,17.16908943
6480_at,17.15642497
5685_at,17.15466077
55974_at,17.15252775
79034_at,17.13946668
102723409_at,17.13439693
9235_at,17.10973057
109617001_at,17.10766723
25849_at,17.07220683
2570_at,17.03589118
28653_at,17.0293441
83530_at,17.02747327
57659_at,17.02740844
4048_at,17.02690945
28395_at,16.99617395
55863_at,16.99419529
259197_at,16.98847213
10251_at,16.98395747
100874060_at,16.96717367
51327_at,16.94869691
54980_at,16.94507704
106481190_at,16.91120375
8780_at,16.91023284
28455_at,16.89846989
11230_at,16.89712885
100128327_at,16.8819175
10614_at,16.84624725
54504_at,16.83591448
3696_at,16.83094609
948_at,16.81061738
55342_at,16.80523152
414777_at,16.79286667
100132111_at,16.77947284
285367_at,16.75185369
2730_at,16.72922102
28620_at,16.72668899
100113407_at,16.72491178
57565_at,16.71184908
3542_at,16.69673395
2209_at,16.6911552
28950_at,16.68195047
6280_at,16.68125459
28727_at,16.67607601
3621_at,16.66719245
54187_at,16.65749761
101928242_at,16.65740065
8631_at,16.6567391
100506516_at,16.65028696
3959_at,16.63894246
1992_at,16.63076573
51759_at,16.62556246
9710_at,16.62503186
22937_at,16.61265844
9382_at,16.60975909
119358_at,16.60548952
10144_at,16.57828341
2643_at,16.57722876
677815_at,16.55727088
28706_at,16.55012222
3267_at,16.51305469
10758_at,16.50198664
121512_at,16.4899212
106480607_at,16.48853328
10152_at,16.48665393
10613_at,16.48298465
653364_at,16.46422989
9241_at,16.45283568
129642_at,16.42578044
109617003_at,16.4140512
28811_at,16.37164935
84876_at,16.37067479
55204_at,16.35948352
7016_at,16.34509509
100422194_at,16.32841486
7264_at,16.29400883
55374_at,16.28969879
967_at,16.28571857
65125_at,16.27450547
5204_at,16.25250707
28739_at,16.22214535
390284_at,16.21011049
28716_at,16.1957414
1875_at,16.17826527
3005_at,16.17616043
483_at,16.13944946
677770_at,16.11811138
7763_at,16.08892637
7071_at,16.08142005
10419_at,16.0806233
7694_at,16.06942067
6897_at,16.06556205
149345_at,16.04088171
55833_at,16.0282462
2833_at,16.02700973
28907_at,16.0190821
22807_at,16.01664877
55240_at,16.00161738
114294_at,15.97556841
90204_at,15.97473821
10365_at,15.97146788
114836_at,15.96967912
359997_at,15.96887376
28821_at,15.95021793
441073_at,15.94830873
80853_at,15.93845284
619505_at,15.93651739
106479323_at,15.93575869
84418_at,15.9342158
29799_at,15.93256337
5590_at,15.9225088
100652772_at,15.9117494
51523_at,15.88440896
28721_at,15.87484261
100505702_at,15.85750066
55723_at,15.81777737
3836_at,15.80949067
4637_at,15.79982048
28606_at,15.79258092
54994_at,15.78889064
28713_at,15.77817074
8313_at,15.77708604
5004_at,15.74361546
28749_at,15.73712247
5996_at,15.72807236
115650_at,15.67354397
23344_at,15.66910094
3040_at,15.66090398
55356_at,15.65156044
23191_at,15.64694328
11345_at,15.6286907
4814_at,15.62698063
246329_at,15.60643674
286043_at,15.59192467
2043_at,15.58278823
3033_at,15.56745466
23609_at,15.56349681
114884_at,15.55211996
51490_at,15.54871133
147138_at,15.54234327
342510_at,15.53965028
130355_at,15.5105028
4942_at,15.50979812
10859_at,15.49742713
645506_at,15.48789676
122402_at,15.45645524
162466_at,15.4408391
11279_at,15.43055871
4205_at,15.41317381
5510_at,15.38830203
100419645_at,15.37987727
9466_at,15.37354685
79005_at,15.3666842
203068_at,15.36547022
28793_at,15.35661628
25942_at,15.34610466
9590_at,15.33078548
19_at,15.32490341
27069_at,15.30758121
3505_at,15.30440036
1232_at,15.29859532
10771_at,15.2948442
11184_at,15.29136991
56911_at,15.2867057
10099_at,15.26511543
84436_at,15.25958831
28796_at,15.23623551
26796_at,15.23111485
27235_at,15.22929892
9517_at,15.22643662
152579_at,15.22016332
2987_at,15.21773008
81606_at,15.21406538
971_at,15.21164064
54491_at,15.20218423
10209_at,15.19749064
7150_at,15.18449215
54910_at,15.1841412
116362_at,15.16333885
567_at,15.14939208
8804_at,15.13878514
11006_at,15.12647231
51510_at,15.11564893
28908_at,15.09692895
26130_at,15.08917394
166929_at,15.08833413
